id,name,attribute_id
3001,Power Band,0
3002,Mega Power Band,0
3003,Giga Power Band,0
3004,Tera Power Band,0
3005,Magic Band,0
3006,Mega Magic Band,0
3007,Giga Magic Band,0
3008,Tera Magic Band,0
3009,Guard Band,0
3010,Mega Guard Band,0
3011,Giga Guard Band,0
3012,Tera Guard Band,0
3013,Speed Band,0
3014,Mega Speed Band,0
3015,Giga Speed Band,0
3016,Tera Speed Band,0
3017,Luck Band,0
3018,Mega Luck Band,0
3019,Giga Luck Band,0
3020,Tera Luck Band,0
3021,0x3015,0
3022,Black God's Rock,0
3023,0x3017,0
3024,0x3018,0
3025,0x3019,0
3026,Kohryu's Scale,0
3027,0x301B,0
3028,0x301C,0
3029,0x301D,0
3030,Mystic Rock,0
3031,0x301F,0
3032,0x3020,0
3033,0x3021,0
3034,Blazing Flame,0
3035,0x3023,0
3036,0x3024,0
3037,0x3025,0
3038,Frozen Stone,0
3039,0x3027,0
3040,0x3028,0
3041,0x3029,0
3042,Lightning Gloves,0
3043,0x302B,0
3044,0x302C,0
3045,0x302D,0
3046,Storm Ring,0
3047,0x302F,0
3048,0x3030,0
3049,White Feather,0
3050,Radiant Halo,0
3051,0x3033,0
3052,Black Feather,0
3053,Ring of Darkness,0
3054,0x3036,0
3055,Narcissus Flower,0
3056,Staunch Anklets,0
3057,Unbreakable Cage,0
3058,Serpent's Eye,0
3059,Ring of Serenity,0
3060,Frost Cap,0
3061,Lightning Armlet,0
3062,Alicorn,0
3063,Tome of the Void,0
3064,Omnipotent Orb,180
3065,Slash Ward,0
3066,Slash Repeller,0
3067,Strike Ward,0
3068,Strike Repeller,0
3069,Pierce Ward,0
3070,Pierce Repeller,0
3071,Flame Charm,0
3072,Eye of Flame,0
3073,Ice Charm,0
3074,Eye of Ice,0
3075,Wind Charm,0
3076,Eye of Wind,0
3077,Thunder Charm,0
3078,Eye of Thunder,0
3079,Masakado's Hair,0
3080,Book of Enoch,0
3081,Fire Bracers,0
3082,Agni Bracers,0
3083,Ice Bracers,0
3084,Varuna Bracers,0
3085,Thunder Bracers,0
3086,Indra Bracers,0
3087,Wind Bracers,0
3088,Vayu Bracers,0
3089,Indigo Cape,0
3090,Rosary,0
3091,Prayer Beads,0
3092,0x305C,0
3093,0x305D,0
3094,0x305E,0
3095,Frenzy Beads,0
3096,Warrior's Seal,0
3097,War God's Seal,0
3098,Berserker's Seal,0
3099,Land Badge,0
3100,Earth Badge,0
3101,Space Badge,0
3102,Mage's Mark,0
3103,Sorcerer's Mark,0
3104,Wizard's Mark,0
3105,0x3069,0
3106,0x306A,0
3107,0x306B,0
3108,0x306C,0
3109,Power Enhancer,0
3110,Guard Enhancer,0
3111,Speed Enhancer,0
3112,Shadow Sensor,0
3113,Sigma Drive,0
3114,Omega Drive,0
3115,Barbaric Bracers,0
3116,Divine Pillar,0
3117,Chakra Ring,0
3118,Rudra Ring,0
3119,0x3077,0
3120,0x3078,0
3121,0x3079,0
3122,Draupnir,0
3123,Spirit Bracers,0
3124,Sacrificial Idol,0
3125,0x307D,0
3126,0x307E,0
3127,0x307F,0
3128,Portable Player,0
3129,Silver Necklace,0
3130,Heart Choker,0
3131,Leather Gloves,0
3132,Red Ribbon,0
3133,Koromaru Wings,0
3134,Fancy Nails,0
3135,Wristband,0
3136,Beanie,0
3137,Silver Ring,0
3138,0x308A,0
3139,Platinum Watch,0
3140,0x308C,0
3141,0x308D,0
3142,0x308E,0
3143,Bead Necklace,0
3144,Life Ring,0
3145,Energy Ring,0
3146,Vitality Ring,0
3147,Spirit Ring,0
3148,Spell Ring,0
3149,Magic Ring,0
