id,name,evasion,attribute_id
2001,Engineer Boots,4,0
2002,Brown Loafers,4,0
2003,Knee-high Boots,4,0
2004,Straight Tip,4,0
2005,Inverse Shoes,4,0
2006,Soccer Shoes,4,0
2007,Western Boots,4,0
2008,Health Sandals,24,66
2009,Max Safety Shoes,38,0
2010,Rubber Sole,10,0
2011,High-tech Sandals,12,0
2012,Leather Boots,20,0
2013,Inline Skates,22,0
2014,Mechanical Geta,28,0
2015,Combat Boots,30,0
2016,Crimson Greaves,36,0
2017,Magic Sandals,38,0
2018,Cyber Shoes,46,0
2019,Silent Sandals,48,0
2020,Needle Shoes,56,0
2021,Jet Boots,58,0
2022,Greaves of Dawn,64,0
2023,Assassin's Shoes,66,0
2024,Mirage Sandals,80,0
2025,0x2019,0,0
2026,0x201A,0,0
2027,Shoes of Light,140,0
2028,Shoes of Bane,82,0
2029,Idaten's Sandals,88,0
2030,War God's Boots,90,0
2031,Holy Shoes,96,0
2032,Goddess Boots,92,0
2033,Hanzo's Sandals,98,0
2034,0x2022,0,0
2035,0x2023,0,0
2036,Dragon Boots,50,0
2037,R/C Geta,68,0
2038,0x2026,0,0
2039,Rugged Geta,14,0
2040,Killer Cleats,72,0
2041,0x2029,0,0
2042,Lion Sandals,74,0
2043,Warrior's Boots,40,0
2044,0x202C,0,0
2045,0x202D,0,0
2046,Vernal Sandals,60,0
2047,0x202F,0,0
2048,0x2030,0,0
2049,0x2031,0,0
2050,Hallowed Boots,130,0
2051,0x2033,0,0
2052,Beast Leggings,32,0
2053,0x2035,0,0
2054,Quick Pumps,68,0
2055,0x2037,0,0
2056,Sexy Heels,84,0
2057,0x2039,0,0
2058,0x203A,0,0
2059,0x203B,0,0
2060,Eternal Shoes,130,0
2061,Bare Paws,125,0
2062,0x203E,0,0
2063,0x203F,0,0
2064,0x2040,0,0
2065,0x2041,0,0
2066,0x2042,0,0
2067,0x2043,0,0
2068,0x2044,0,0
2069,0x2045,0,0
2070,0x2046,0,0
2071,Civilized Legs,0,0
2072,Fiber Legs,0,0
2073,Pearlite Legs,34,0
2074,Fullerene Legs,43,0
2075,Ceramic Legs,52,0
2076,Cobalt Legs,62,0
2077,Titanium Legs,70,0
2078,Cermet Legs,80,0
2079,Ergo Legs,88,0
2080,Kugelbein,95,0
2081,Black Loafers,6,0
2082,Dummy,0,0
2083,Enamel Pied,0,0
2084,Suede Pied,0,0
2085,Solid Pied,34,0
2086,Bisque Pied,43,0
2087,Alumina Pied,52,0
2088,Titanium Pied,62,0
2089,Zircon Pied,70,0
2090,Baskins,80,0
2091,Leprechaun Toe,88,0
2092,Blood Aries,95,0
2093,Swan Legs,100,0
2094,Ella's Slippers,100,0
2095,Aigis Legs v.100,0,0
2096,Centurion,130,0
