level,cumulative_exp
1,0
2,20
3,47
4,99
5,185
6,312
7,490
8,726
9,1030
10,1410
11,1873
12,2429
13,3085
14,3851
15,4735
16,5744
17,6888
18,8174
19,9612
20,11210
21,12975
22,14917
23,17043
24,19363
25,21885
26,24616
27,27566
28,30742
29,34154
30,37810
31,41717
32,45885
33,50321
34,55035
35,60035
36,65328
37,70924
38,76830
39,83056
40,89610
41,96499
42,103733
43,111319
44,119267
45,127585
46,136280
47,145362
48,154838
49,164718
50,175010
51,185721
52,196861
53,208437
54,220459
55,232935
56,245872
57,259280
58,273166
59,287540
60,302410
61,317783
62,333669
63,350075
64,367011
65,384485
66,402504
67,421078
68,440214
69,459922
70,480210
71,501085
72,522557
73,544633
74,567323
75,590635
76,614576
77,639156
78,664382
79,690264
80,716810
81,744027
82,771925
83,800511
84,829795
85,859785
86,890488
87,921914
88,954070
89,986966
90,1020610
91,1055009
92,1090173
93,1126109
94,1162827
95,1200335
96,1238640
97,1277752
98,1317678
99,1358428
