level,exp_estimate_formula,exp_confirmed_actual
1,3,0
2,14,23
3,42,50
4,97,103
5,186,192
6,318,323
7,501,505
8,746,
9,1059,1061
10,1450,
11,1927,1928
12,2500,2500
13,3176,
14,3964,
15,4873,
16,5912,
17,7089,
18,8413,
19,9892,
20,11536,
21,13352,
22,15349,
23,17537,
24,19923,
25,22517,
26,25327,25321
27,28361,
28,31628,
29,35138,35131
30,38898,
31,42917,
32,47204,
33,51767,
34,56615,
35,61758,
36,67202,
37,72958,
38,79033,
39,85437,
40,92177,
41,99263,
42,106703,
43,114507,
44,122681,
45,131236,
46,140180,
47,149521,
48,159268,
49,169430,
50,180015,
51,191032,
52,202490,
53,214397,
54,226762,
55,239593,
56,252900,
57,266691,
58,280974,
59,295758,
60,311052,
61,326864,326864
62,343204,
63,360079,
64,377498,
65,395471,
66,414005,
67,433109,
68,452792,
69,473063,
70,493930,493932
71,515401,
72,537486,
73,560194,
74,583532,
75,607509,
76,632134,
77,657416,
78,683363,
79,709985,
80,737288,
81,765284,
82,793978,793981
83,823382,
84,853502,
85,884349,
86,915929,
87,948253,
88,981329,
89,1015165,
90,1049770,
91,1085152,
92,1121321,
93,1158285,
94,1196052,
95,1234631,
96,1274032,
97,1314261,
98,1355329,
99,1397244,1397242
