id_dec,id_hex,name
1,001,Agi
2,002,Agilao
3,003,Agidyne
4,004,Maragi
5,005,Maragion
6,006,Maragidyne
7,007,Maralagidyne (same as Maragidyne only with green flames)
8,008,0x008 (useless skill)
9,009,Ragnarok
10,00A,Garu
11,00B,Garula
12,00C,Garudyne
13,00D,Magaru
14,00E,Magarula
15,00F,Magarudyne
16,010,0x010 (useless skill)
17,011,0x011 (useless skill)
18,012,Panta Rhei
19,013,Bufu
20,014,Bufula
21,015,Bufudyne
22,016,Mabufu
23,017,Mabufula
24,018,Mabufudyne
25,019,0x019 (useless skill)
26,01A,0x01A (useless skill)
27,01B,Niflheim
28,01C,Zio
29,01D,Zionga
30,01E,Ziodyne
31,01F,Mazio
32,020,Mazionga
33,021,Maziodyne
34,022,0x22 (useless skill)
35,023,0x23 (useless skill)
36,024,Thunder Reign
37,025,Megido
38,026,Megidola
39,027,Megidolaon
40,028,Last Resort
41,029,0x029 (useless skill)
42,02A,0x02A (useless skill)
43,02B,Black Viper
44,02C,Morning Star
45,02D,Hama
46,02E,Mahama
47,02F,Hamaon
48,030,Mahamaon
49,031,0x031 (useless skill)
50,032,Samsara
51,033,Mudo
52,034,Mamudo
53,035,Mudoon
54,036,Mamudoon
55,037,0x037 (useless skill)
56,038,Die for Me!
57,039,Marin Karin
58,03A,Sexy Dance
59,03B,Bewilder
60,03C,Earie Sound
61,03D,Pulinpa
62,03E,Tentarafoo
63,03F,Evil Touch
64,040,Evil Smile
65,041,Ghastly Wail
66,042,Provoke
67,043,Infuriate
68,044,Poisma
69,045,Poison Mist
70,046,Virus Breath
71,047,0x047 (useless skill)
72,048,0x048 (useless skill)
73,049,Foul Breath
74,04A,Stagnant Air
75,04B,Life Drain
76,04C,Spirit Drain
77,04D,0x04D (useless skill)
78,04E,0x04E (useless skill)
79,04F,0x04F (useless skill)
80,050,Maragidyne (Elizabeth's modded spell)
81,051,Magarudyne (Elizabeth's modded spell)
82,052,Mabufudyne (Elizabeth's modded spell)
83,053,Maziodyne (Elizabeth's modded spell)
84,054,Megidolaon (Elizabeth's Megidolaon - 9999 damage to all foes)
85,055,Mahamaon
86,056,Mamudoon
87,057,Sexy Dance
88,058,Earie Sound
89,059,Tentarafoo
90,05A,Evil Smile
91,05B,Poison Mist
92,05C,Holy Arrow
93,05D,LIfe Drain
94,05E,Spirit Drain
95,05F,0x05F (Last Resort - damages both the party and enemies)
96,060,"Death (""The Journey"" Final/Last Boss's Ultimate Spell - 9999 damage to a single foe)"
97,061,Yell (Fully restores Minato's HP)
98,062,Yell (Fully restores Minato's HP)
99,063,Death (Always 9999 damage+Critical Hit every time)
100,064,Death (Almighty attack that always misses...no comment -_-')
101,065,Death (useless skill)
102,066,Moonless Gown (useless skill)
103,067,Moonless Gown (useless skill)
104,068,Summon (useless skill)
105,069,Slash Attack (useless skill)
106,06A,Pierce Attack (useless skill)
107,06B,Strike Attack (useless skill)
108,06C,Yell (Fully restores Minato's HP)
109,06D,Pierce Attack (useless skill)
110,06E,Fire Attack (useless skill)
111,06F,Almighty Attack (like normal attack but it attacks all and has almighty properties+a really nice blue wave graphic effect)
112,070,Bash
113,071,Assault Dive
114,072,Kill Rush
115,073,Swift Strike
116,074,Sonic Punch
117,075,Heat Wave
118,076,Gigantic Fist
119,077,Akasha Arts
120,078,God's Hand
121,079,Cleave
122,07A,Fatal End
123,07B,Getsu-ei
124,07C,Zan-ei
125,07D,Mighty Swing
126,07E,Double fangs
127,07F,Blade of Fury
128,080,Deathbound
129,081,Tempest Slash
130,082,Heaven's Blade
131,083,Pralaya
132,084,Power Slash
133,085,Gale Slash
134,086,Brave Blade
135,087,Herculean Strike
136,088,Vicious Strike
137,089,Single Shot
138,08A,Twin Shot
139,08B,Holy Arrow
140,08C,Torrent Shot
141,08D,Arrow Rain
142,08E,Myriad Arrows
143,08F,Primal Force
144,090,Vorpal Blade
145,091,Weary Thrust
146,092,Cruel Attack
147,093,Vile Assault
148,094,Poison Arrow
149,095,Weary Thrust (useless skill)
150,096,Vorpal Blade (useless skill)
151,097,0x097 (filler skill)
152,098,0x098 (filler skill)
153,099,0x099 (filler skill)
154,09A,0x09A (filler skill)
155,09B,0x09B (filler skill)
156,09C,0x09C (filler skill)
157,09D,0x09D (filler skill)
158,09E,0x09E (filler skill)
159,09F,0x09F (filler skill)
256,100,Summer Dream (knocks all enemies down) Default Fusion Spell
257,101,Summer Dream (knocks all allies down)
258,102,Summer Dream (knocks everyone down)
259,103,Summer Dream (always No Effect!)
260,104,Summer Dream (fully restores Minato's HP and SP)
261,105,Summer Dream (fully restores enemies HP and SP)
262,106,Summer Dream (fully restores HP and SP to party members as well as enemies)
263,107,Summer Dream (damages Minato)
264,108,Summer Dream (inflicts 2000 damage on all enemies)
265,109,Summer Dream (inflicts ailments on everyone)
266,10A,Summer Dream (targets Minato but always misses)
267,10B,Summer Dream (targets Minato but always misses)
268,10C,Summer Dream (instantly kills a single enemy)
269,10D,Summer Dream (halves all foes HP and SP)
270,10E,Summer Dream (halves everyones HP and SP)
271,10F,Summer Dream (reduces all foes HP to 1)
272,110,"Jack Brothers (Knocks all foes down, medium odds)"
273,111,Ardhanari (Deals massive Fire damage to all foes)
274,112,Trickster Inflicts random ailments on all foes)
275,113,"Infinity (Invulnerability for 1 turn, entire party)"
276,114,"Valhalla (Invulnerability for 1 turn, 1 ally but...)"
277,115,Summer Dream (Unpredictable effect)
278,116,Armageddon (Deals ultimate damage to all foes)
279,117,"Cadenza (Restores 50% HP and evasion up, entire party)"
280,118,Scarlet Havoc (Deals heavy Slash damage to all foes)
281,119,"Frolic (Restores party's HP, but sometimes...)"
282,11A,"Dreamfest (Charms all foes, high odds)"
283,11B,"King and I (Deals medium Ice damage, and Freezes all foes)"
284,11C,Best Friends (Combines all -kaja skills on 1 ally)
285,11D,Shadow Hound (Deals heavy Strike damage to all foes)
286,11E,Thunder Call (Deals heavy Electricity damage and Shocks all foes)
287,11F,Last Judge (Deals severe Almighty damage to all foes)
288,120,Raktapaksha (Knocks Down all foes+Dekaja)
289,121,Justice (Halves all foes HP via Light magic)
290,122,Trickster (always Command Ignored+charm self)
291,123,0x123 (useless skill)
292,124,0x124 (useless skill)
293,125,"Primal Darkness (""The Answer"" Final Boss's almighty attack with a nice graphic effect, attacks a single foe for ""The Journey"" and all foes for ""The Answer"" - This skill is fine to use in ""The Journey"" but it WILL freeze the game for 30+ seconds if used in ""The Answer"")"
294,126,Dark Embrace (useless skill)
295,127,"Primal Darkness (useless skill for ""The Journey"" but works without a problem for ""The Answer"", attacks all foes)"
296,128,"Primal Darkness (useless skill for ""The Journey"" but works without a problem for ""The Answer"", attacks all foes)"
297,129,0x129 (useless skill)
298,12A,(useless skill)
299,12B,(useless skill)
300,12C,(useless skill)
301,12D,(useless skill)
302,12E,(useless skill)
303,12F,(useless skill)
304,130,Pierce Attack (useless skill)
305,131,Fire Attack (useless skill)
306,132,Summon (useless skill)
307,133,Summon (useless skill)
308,134,Armed&Ready (turns Minato into a bomb ready to explode)
309,135,Sacrifice (same as Last Resort)
310,136,Arcana Shift (useless skill)
311,137,Arcana Shift (useless skill)
312,138,Arcana Shift (useless skill)
