id,name,weapon_type_id,weapon_type_name,attack,accuracy,attribute_id
1,Imitation Katana,1,Two-handed sword,38,90,0
2,Outenta Mitsuyo ,1,Two-handed sword,213,91,0
3,Mikazuki Munechika,1,Two-handed sword,182,91,0
4,Myohou Muramasa,1,Two-handed sword,400,99,142
5,Onimaru Kunitsuna,1,Two-handed sword,121,91,0
6,Juzumaru,1,Two-handed sword,42,91,0
7,Kishido Blade,1,Two-handed sword,40,90,0
8,Two-handed Sword,1,Two-handed sword,116,90,0
9,Claymore,1,Two-handed sword,204,90,0
10,Deathbringer,1,Two-handed sword,246,90,0
11,Apocalypse,1,Two-handed sword,295,90,0
12,Balmung,1,Two-handed sword,310,93,0
13,Bastard Sword,1,Two-handed sword,57,90,0
14,0x00E,1,Two-handed sword,0,0,0
15,0x00F,1,Two-handed sword,0,0,0
16,Dark Slayer,1,Two-handed sword,141,90,0
17,Galahad's Sword,1,Two-handed sword,351,90,0
18,Zweihander,1,Two-handed sword,284,90,0
19,Basic Katana,1,Two-handed sword,0,0,0
20,Basic Sword,1,Two-handed sword,0,0,0
21,Basic Longsword,1,Two-handed sword,0,0,0
22,Spiked Bat,1,Two-handed sword,100,99,0
23,Laevateinn,1,Two-handed sword,340,83,0
24,Masakado's Katana,1,Two-handed sword,450,100,0
25,All-purpose Katana,1,Two-handed sword,58,90,0
26,0x01A,1,Two-handed sword,0,0,0
27,Tsubaki-maru,1,Two-handed sword,174,90,0
28,Raikou,1,Two-handed sword,86,90,0
29,Tobi-botaru,1,Two-handed sword,309,90,0
30,0x01E,1,Two-handed sword,0,0,0
31,0x01F,1,Two-handed sword,0,0,0
32,Rapier,2,One-handed Sword,37,92,0
33,Elegant Fleuret,2,One-handed Sword,85,92,0
34,Skrep,2,One-handed Sword,167,92,0
35,Damascus Rapier,2,One-handed Sword,295,92,0
36,Main Gauche,2,One-handed Sword,235,90,0
37,Night Falcon,2,One-handed Sword,57,93,0
38,Saber,2,One-handed Sword,55,92,0
39,Tizona,2,One-handed Sword,136,92,0
40,Silver Saber,2,One-handed Sword,111,92,0
41,Sol Blade,2,One-handed Sword,246,93,0
42,0x02A,2,One-handed Sword,0,0,0
43,Ascalon,2,One-handed Sword,271,92,0
44,Shortsword,2,One-handed Sword,35,92,0
45,Gimlet,2,One-handed Sword,335,92,0
46,Gladius,2,One-handed Sword,39,92,0
47,Sin Blade,2,One-handed Sword,195,92,0
